mean:2.6730,std:1.5035
Epoch: 001, LR: 0.001000, Loss: 0.4220750, Val MAE: 0.5018868, Test MAE: 0.5001504, Test stdMAE: 0.3326619
Epoch: 002, LR: 0.001000, Loss: 0.1993716, Val MAE: 0.4187411, Test MAE: 0.4127209, Test stdMAE: 0.2745105
Epoch: 003, LR: 0.001000, Loss: 0.1318186, Val MAE: 0.3662440, Test MAE: 0.3608983, Test stdMAE: 0.2400421
Epoch: 004, LR: 0.001000, Loss: 0.0926693, Val MAE: 0.2856885, Test MAE: 0.2846882, Test stdMAE: 0.1893529
Epoch: 005, LR: 0.001000, Loss: 0.0689662, Val MAE: 0.2552543, Test MAE: 0.2562568, Test stdMAE: 0.1704425
Epoch: 006, LR: 0.001000, Loss: 0.0548217, Val MAE: 0.2303074, Test MAE: 0.2319770, Test stdMAE: 0.1542935
Epoch: 007, LR: 0.001000, Loss: 0.0486509, Val MAE: 0.2028876, Test MAE: 0.2072666, Test stdMAE: 0.1378580
Epoch: 008, LR: 0.001000, Loss: 0.0380215, Val MAE: 0.1837072, Test MAE: 0.1847776, Test stdMAE: 0.1229000
Epoch: 009, LR: 0.001000, Loss: 0.0339375, Val MAE: 0.2032998, Test MAE: 0.1847776, Test stdMAE: 0.1229000
Epoch: 010, LR: 0.001000, Loss: 0.0303868, Val MAE: 0.1850053, Test MAE: 0.1847776, Test stdMAE: 0.1229000
Epoch: 011, LR: 0.001000, Loss: 0.0265906, Val MAE: 0.1842693, Test MAE: 0.1847776, Test stdMAE: 0.1229000
Epoch: 012, LR: 0.001000, Loss: 0.0253789, Val MAE: 0.2143899, Test MAE: 0.1847776, Test stdMAE: 0.1229000
Epoch: 013, LR: 0.001000, Loss: 0.0244793, Val MAE: 0.1571817, Test MAE: 0.1555784, Test stdMAE: 0.1034789
Epoch: 014, LR: 0.001000, Loss: 0.0222375, Val MAE: 0.1489969, Test MAE: 0.1495786, Test stdMAE: 0.0994883
Epoch: 015, LR: 0.001000, Loss: 0.0199845, Val MAE: 0.1483608, Test MAE: 0.1480935, Test stdMAE: 0.0985006
Epoch: 016, LR: 0.001000, Loss: 0.0196837, Val MAE: 0.1366744, Test MAE: 0.1362823, Test stdMAE: 0.0906446
Epoch: 017, LR: 0.001000, Loss: 0.0185556, Val MAE: 0.1483770, Test MAE: 0.1362823, Test stdMAE: 0.0906446
Epoch: 018, LR: 0.001000, Loss: 0.0170065, Val MAE: 0.1317371, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 019, LR: 0.001000, Loss: 0.0167539, Val MAE: 0.1374159, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 020, LR: 0.001000, Loss: 0.0160679, Val MAE: 0.1419467, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 021, LR: 0.001000, Loss: 0.0152356, Val MAE: 0.1407725, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 022, LR: 0.001000, Loss: 0.0151225, Val MAE: 0.1437990, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 023, LR: 0.001000, Loss: 0.0138441, Val MAE: 0.1367474, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 024, LR: 0.001000, Loss: 0.0125743, Val MAE: 0.1353679, Test MAE: 0.1312599, Test stdMAE: 0.0873041
Epoch: 025, LR: 0.000700, Loss: 0.0104191, Val MAE: 0.1157416, Test MAE: 0.1156038, Test stdMAE: 0.0768909
Epoch: 026, LR: 0.000700, Loss: 0.0101024, Val MAE: 0.1183071, Test MAE: 0.1156038, Test stdMAE: 0.0768909
Epoch: 027, LR: 0.000700, Loss: 0.0102355, Val MAE: 0.1202231, Test MAE: 0.1156038, Test stdMAE: 0.0768909
Epoch: 028, LR: 0.000700, Loss: 0.0098430, Val MAE: 0.1068468, Test MAE: 0.1067283, Test stdMAE: 0.0709875
Epoch: 029, LR: 0.000700, Loss: 0.0093436, Val MAE: 0.1073418, Test MAE: 0.1067283, Test stdMAE: 0.0709875
Epoch: 030, LR: 0.000700, Loss: 0.0091945, Val MAE: 0.1072697, Test MAE: 0.1067283, Test stdMAE: 0.0709875
Epoch: 031, LR: 0.000700, Loss: 0.0089810, Val MAE: 0.1093211, Test MAE: 0.1067283, Test stdMAE: 0.0709875
Epoch: 032, LR: 0.000700, Loss: 0.0086109, Val MAE: 0.1110719, Test MAE: 0.1067283, Test stdMAE: 0.0709875
Epoch: 033, LR: 0.000700, Loss: 0.0092036, Val MAE: 0.1004799, Test MAE: 0.1003287, Test stdMAE: 0.0667310
Epoch: 034, LR: 0.000700, Loss: 0.0082739, Val MAE: 0.1053107, Test MAE: 0.1003287, Test stdMAE: 0.0667310
Epoch: 035, LR: 0.000700, Loss: 0.0079969, Val MAE: 0.1055313, Test MAE: 0.1003287, Test stdMAE: 0.0667310
Epoch: 036, LR: 0.000700, Loss: 0.0078960, Val MAE: 0.1002752, Test MAE: 0.0999160, Test stdMAE: 0.0664565
Epoch: 037, LR: 0.000700, Loss: 0.0077829, Val MAE: 0.1025254, Test MAE: 0.0999160, Test stdMAE: 0.0664565
Epoch: 038, LR: 0.000700, Loss: 0.0078053, Val MAE: 0.0967440, Test MAE: 0.0971176, Test stdMAE: 0.0645952
Epoch: 039, LR: 0.000700, Loss: 0.0074046, Val MAE: 0.0983164, Test MAE: 0.0971176, Test stdMAE: 0.0645952
Epoch: 040, LR: 0.000700, Loss: 0.0073245, Val MAE: 0.0985492, Test MAE: 0.0971176, Test stdMAE: 0.0645952
Epoch: 041, LR: 0.000700, Loss: 0.0072261, Val MAE: 0.0991165, Test MAE: 0.0971176, Test stdMAE: 0.0645952
